user_id,screen_name,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url,DateUpdate
148318506787482e4,Pedro32735076,Pedro,NA,Soy complicado pero si llegas a conocerme…🗿,NA,FALSE,1,25,0,5,4,2022-01-17T21:11:11Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/1483185067874820101/1642454440,NA,http://pbs.twimg.com/profile_images/1483186575337009155/h5qaKL0J_normal.jpg,2022-07-04
1254316645486596e3,hevaheskouri,Heva,"Valencia, España","Farmacéutica,
Ph en Biomedicina y Farmacia 💊             
 #SinCienciaNoHayFuturo",https://t.co/fc9jRkioM6,FALSE,160,264,0,131,344,2020-04-26T07:49:37Z,FALSE,https://t.co/fc9jRkioM6,https://www.linkedin.com/in/heva-heskouri-666245138/,NA,https://pbs.twimg.com/profile_banners/1254316645486596096/1603268251,NA,http://pbs.twimg.com/profile_images/1254331074005610498/iDOV0-CB_normal.jpg,2022-07-04
267154391,Josemipp78,José Miguel Palacios | Storopack Packaging España,España,"STOROPACK, fabricante de #embalaje de protección para los envíos: Cojín de aire, acolchados de papel, espuma PU, chips relleno #BIO. Contacte conmigo para +info",https://t.co/YvdwyoNcNp,FALSE,102,652,1,198,11,2011-03-16T12:29:11Z,FALSE,https://t.co/YvdwyoNcNp,http://www.storopack.es,NA,https://pbs.twimg.com/profile_banners/267154391/1582869575,http://abs.twimg.com/images/themes/theme9/bg.gif,http://pbs.twimg.com/profile_images/1232944488554913792/S0I8YrsD_normal.jpg,2022-07-04
995119703738765300,cojunglar,Cojunglar 🌴 #AR & #CO,Ciudad Autónoma de Buenos Aire,Conceptos Sustentables FoodNonFood | Observatorio de transición Lineal a Circular |,NA,FALSE,318,2742,1,4011,30145,2018-05-12T01:53:20Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/995119703738765313/1568732053,NA,http://pbs.twimg.com/profile_images/996572912969662465/lweMXGPT_normal.jpg,2022-07-04
852913699794890800,cultifort,Cultifort - Expertos en Nutrición Vegetal,"Pego, España","Desde1985 
Formulación, fabricación y comercialización🌎
🔬I+D+i
🧪Nutrición vegetal ecológica y sin residuos
🌱Bioestimulantes
Conócenos➡️https://t.co/TXP0lSW80E",https://t.co/MEb5FsUcvT,FALSE,807,1384,5,597,238,2017-04-14T15:57:27Z,FALSE,https://t.co/MEb5FsUcvT,https://www.cultifort.com,NA,https://pbs.twimg.com/profile_banners/852913699794890752/1492185541,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1269922665625681924/j-velHxW_normal.jpg,2022-07-04
